primaryTitle,startYear,runtimeMinutes,genres,region,language,averageRating,numVotes
I Cover the Waterfront,1933,72,"Crime,Drama,Romance",IN,en,6.1,837
The Invisible Man,1933,71,"Horror,Sci-Fi",IN,en,7.6,43291
King Kong,1933,100,"Adventure,Horror",IN,en,7.9,94782
Lady Killer,1933,76,"Comedy,Crime,Drama",IN,en,7.0,2196
A Song for You,1933,89,Comedy,IN,en,6.6,20
The Little Giant,1933,76,"Comedy,Crime,Romance",IN,en,7.0,1509
Little Women,1933,115,"Drama,Family,Romance",IN,hi,7.1,8392
Made on Broadway,1933,68,"Comedy,Drama",IN,en,6.2,202
My Woman,1933,76,"Drama,Romance",IN,en,6.2,155
Oliver Twist,1933,80,"Drama,Family,Mystery",IN,hi,5.1,443
Picture Snatcher,1933,77,"Crime,Drama",IN,en,7.0,1958
Rafter Romance,1933,73,"Comedy,Romance",IN,en,6.6,975
She Done Him Wrong,1933,66,"Comedy,Drama,History",IN,en,6.3,7513
The Song of Songs,1933,90,"Drama,Romance",IN,en,6.8,1073
State Fair,1933,99,"Comedy,Drama,Romance",IN,en,6.7,1273
The Story of Temple Drake,1933,70,"Crime,Drama",IN,en,7.1,2098
Supernatural,1933,65,"Drama,Horror,Mystery",IN,en,6.2,1110
A Man's Head,1933,90,"Crime,Mystery,Thriller",IN,hi,7.1,762
Amrit Manthan,1934,155,Drama,IN,mr,4.8,25
March of the Wooden Soldiers,1934,77,"Comedy,Family,Fantasy",IN,en,7.1,7993
The Barretts of Wimpole Street,1934,109,"Biography,Drama,Romance",IN,en,6.9,2334
The Cat's-Paw,1934,102,Comedy,IN,en,6.6,1450
Cleopatra,1934,100,"Biography,Drama,History",IN,en,6.8,5064
He Was Her Man,1934,70,"Crime,Drama,Romance",IN,en,6.2,782
It Happened One Night,1934,105,"Comedy,Romance",IN,en,8.1,118215
Jimmy the Gent,1934,67,"Comedy,Crime,Drama",IN,en,6.6,2157
The Key,1934,71,"Drama,Romance",IN,en,6.0,606
The Man Who Knew Too Much,1934,75,"Crime,Drama,Mystery",IN,en,6.7,22982
Bad Seed,1934,77,"Comedy,Drama,Romance",IN,en,6.1,1170
The Merry Widow,1934,99,"Comedy,Musical,Romance",IN,en,7.2,3501
Midnight,1934,76,"Crime,Drama,Film-Noir",IN,en,5.5,1386
One Night of Love,1934,84,"Comedy,Music,Romance",IN,en,5.6,813
The Scarlet Pimpernel,1934,97,"Adventure,Drama",IN,en,7.3,5084
She Loves Me Not,1934,85,"Comedy,Crime,Romance",IN,en,5.7,253
Straight Is the Way,1934,59,"Drama,Romance",IN,en,6.0,225
Tarzan and His Mate,1934,104,"Action,Adventure,Romance",IN,en,7.2,5933
The Thin Man,1934,91,"Comedy,Crime,Mystery",IN,en,7.9,34392
Alice Adams,1935,99,"Comedy,Drama,Romance",IN,en,6.8,4830
Barbary Coast,1935,91,"Adventure,Drama,Romance",IN,en,6.7,2229
Becky Sharp,1935,84,"Drama,Romance,War",IN,en,5.8,1432
Black Fury,1935,94,"Crime,Drama,Romance",IN,en,6.4,1144
Call of the Wild,1935,95,"Adventure,Drama,Family",IN,en,6.8,2794
Crime and Punishment,1935,88,"Crime,Drama",IN,en,6.9,2435
Curly Top,1935,75,"Family,Musical,Romance",IN,en,6.8,2218
Dangerous,1935,79,"Drama,Romance",IN,en,6.8,3967
David Copperfield,1935,130,"Adventure,Drama,Family",IN,en,7.3,5013
Devdas,1936,139,"Drama,Romance",IN,\N,5.9,130
Devil Dogs of the Air,1935,85,"Action,Comedy,Drama",IN,en,5.9,430
East of Java,1935,72,Drama,IN,en,6.9,44
Frisco Kid,1935,77,"Action,Adventure,Crime",IN,en,6.2,728
'G' Men,1935,85,"Crime,Drama,Film-Noir",IN,en,7.1,4625
High School Girl,1934,55,Drama,IN,en,5.1,67
I Dream Too Much,1935,97,"Musical,Romance",IN,en,5.3,651
Inquilab,1935,144,Drama,IN,\N,7.5,47
Khoon Ka Khoon,1935,122,Drama,IN,en,5.0,12
Mad Love,1935,68,"Horror,Romance,Sci-Fi",IN,en,7.2,6343
The Man Who Broke the Bank at Monte Carlo,1935,71,"Comedy,Drama,Romance",IN,en,6.4,310
Mark of the Vampire,1935,60,"Horror,Mystery",IN,en,6.3,6010
"Mary Burns, Fugitive",1935,84,"Crime,Drama,Mystery",IN,en,6.8,336
Men Without Names,1935,66,"Action,Crime,Drama",IN,en,6.6,77
The Miracle Rider,1935,306,"Drama,Western",IN,en,6.6,178
The New Adventures of Tarzan,1935,257,"Action,Adventure,Crime",IN,en,5.3,450
The Nitwits,1935,81,"Comedy,Crime,Music",IN,en,5.8,502
The Phantom Empire,1935,245,"Family,Sci-Fi,Western",IN,en,6.1,586
The Rainmakers,1935,78,"Comedy,Musical,Romance",IN,en,5.9,179
Sanders of the River,1935,85,"Adventure,Drama,Music",IN,en,5.4,786
