primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,language
Witness for the Prosecution,1957,116,"Crime,Drama,Mystery",8.4,154977,hi
Pathetic Fallacy,1958,102,Drama,7.5,645,hi
Fast and Sexy,1958,98,"Comedy,Romance",5.6,255,hi
Bari Theke Paliye,1958,124,Drama,8.0,282,bn
The Bravados,1958,98,"Drama,Western",7.0,7002,hi
The Fly,1958,94,"Drama,Horror,Sci-Fi",7.1,27481,hi
The Music Room,1958,95,"Drama,Music",7.8,7209,bn
Kala Pani,1958,164,"Crime,Musical,Romance",7.1,403,hi
Parvarish,1958,129,"Drama,Family",6.9,95,hi
Vertigo,1958,128,"Mystery,Romance,Thriller",8.2,452293,hi
White Wilderness,1958,72,"Documentary,Family",5.2,585,hi
Anari,1959,166,"Comedy,Drama,Musical",7.6,979,hi
Anatomy of a Murder,1959,161,"Drama,Mystery",8.0,76483,hi
The World of Apu,1959,105,Drama,8.4,18994,hi
Ben-Hur,1959,212,"Adventure,Drama",8.1,267277,hi
Didi,1959,\N,Drama,8.2,50,hi
Hiroshima Mon Amour,1959,90,"Drama,Romance",7.8,38617,hi
Insaan Jaag Utha,1959,135,"Drama,Family,Musical",7.0,62,hi
Paper Flowers,1959,148,Romance,7.8,3035,hi
Main Nashe Men Hoon,1959,\N,"Comedy,Drama,Family",6.7,70,hi
Neel Akasher Neechey,1959,133,Drama,7.7,160,bn
North by Northwest,1959,136,"Adventure,Drama,Mystery",8.3,365060,hi
Good Morning,1959,94,"Comedy,Drama,Family",7.8,12053,hi
The 400 Blows,1959,99,"Crime,Drama",8.0,132793,hi
Rio Bravo,1959,141,Western,8.0,72152,hi
Some Like It Hot,1959,121,"Comedy,Music,Romance",8.2,300003,hi
"Tarzan, the Ape Man",1959,82,"Action,Adventure,Romance",3.8,418,hi
Battle in Outer Space,1959,90,Sci-Fi,5.6,1762,hi
Breathless,1960,90,"Crime,Drama",7.7,92517,hi
The Apartment,1960,125,"Comedy,Drama,Romance",8.3,213702,hi
BUtterfield 8,1960,109,"Drama,Romance",6.3,7828,hi
Bombai Ka Babu,1960,154,"Drama,Musical,Romance",7.6,222,hi
Barsaat Ki Raat,1960,142,"Drama,Musical,Romance",6.9,166,hi
Dil Apna Aur Preet Parai,1960,155,"Musical,Romance",6.7,173,hi
La Dolce Vita,1960,174,"Comedy,Drama",8.0,84671,hi
Love and the Frenchwoman,1960,143,Comedy,6.1,238,hi
Kala Bazar,1960,163,"Crime,Drama,Musical",7.2,366,hi
The Thief of Baghdad,1961,100,"Adventure,Family,Fantasy",6.3,739,hi
The Magnificent Seven,1960,128,"Action,Adventure,Drama",7.7,108696,hi
The Cloud-Capped Star,1960,126,Drama,7.8,3541,hi
Mughal-E-Azam,1960,197,"Drama,Romance,War",8.1,9411,hi
Peeping Tom,1960,101,"Drama,Horror,Thriller",7.6,42955,hi
Princess of Cleves,1961,101,"Drama,History,Romance",6.1,548,hi
Psycho,1960,109,"Drama,Horror,Mystery",8.5,769297,hi
Daughter of Cleopatra,1960,109,"Adventure,Drama,Romance",4.8,245,hi
Spartacus,1960,197,"Adventure,Biography,Drama",7.9,149936,hi
Last Year at Marienbad,1961,94,"Drama,Mystery,Romance",7.6,26507,hi
Breakfast at Tiffany's,1961,115,"Comedy,Drama,Romance",7.5,201525,hi
A Cold Wind in August,1961,80,Drama,6.5,478,hi
Come September,1961,112,"Comedy,Romance",6.9,4427,hi
Gunga Jumna,1961,178,"Action,Adventure,Drama",7.4,729,hi
The Guns of Navarone,1961,158,"Action,Adventure,Drama",7.5,58690,hi
The Hustler,1961,134,"Drama,Sport",7.9,89958,hi
The Innocents,1961,100,"Drama,Horror,Mystery",7.7,35446,hi
Judgment at Nuremberg,1961,179,"Drama,History,War",8.3,94027,hi
Junglee,1961,150,"Comedy,Drama,Musical",7.0,594,hi
Mem-Didi,1961,137,"Comedy,Drama",7.4,58,hi
Messalina,1960,84,Drama,5.7,313,hi
One Hundred and One Dalmatians,1961,79,"Adventure,Animation,Comedy",7.3,192871,hi
One Plus One,1961,114,Drama,6.2,30,hi
The Parent Trap,1961,129,"Comedy,Family,Romance",7.2,25803,hi
The Secret Ways,1961,112,"Adventure,History,Mystery",6.2,568,hi
Splendor in the Grass,1961,124,"Drama,Romance",7.7,23812,hi
A Wife Confesses,1961,91,"Drama,Mystery",7.4,933,hi
A Woman Is a Woman,1961,84,"Comedy,Drama,Romance",7.3,20080,hi
West Side Story,1961,153,"Crime,Drama,Musical",7.6,126031,hi
The Expedition,1962,150,"Crime,Family,Romance",7.9,1410,bn
The Cabinet of Caligari,1962,106,"Horror,Thriller",5.8,1126,hi
Dr. No,1962,110,"Action,Adventure,Thriller",7.2,189826,hi
Experiment in Terror,1962,123,"Crime,Mystery,Thriller",7.3,7342,hi
A Girl Named Tamiko,1962,110,Drama,5.7,211,hi
Harakiri,1962,133,"Drama,Mystery",8.6,84087,hi
Hatari!,1962,157,"Action,Adventure,Comedy",7.1,15351,hi
King Kong vs. Godzilla,1962,91,"Action,Adventure,Comedy",5.7,11837,hi
Lawrence of Arabia,1962,227,"Adventure,Biography,Drama",8.3,335112,hi
Lolita,1962,153,"Crime,Drama,Romance",7.5,114209,hi
The Longest Day,1962,178,"Action,Drama,History",7.7,61970,hi
Main Chup Rahungi,1962,147,"Drama,Family",7.8,118,hi
The Man Who Shot Liberty Valance,1962,123,"Drama,Western",8.1,87154,hi
Paris Pick-Up,1962,90,"Drama,Thriller",7.3,303,hi
Mutiny on the Bounty,1962,178,"Adventure,Drama,History",7.2,19021,hi
The Man from the First Century,1962,85,"Comedy,Sci-Fi",6.0,200,hi
Requiem for a Heavyweight,1962,95,"Drama,Sport",7.8,5181,hi
Sahib Bibi Aur Ghulam,1962,152,"Drama,Musical",8.1,1979,hi
Tarzan Goes to India,1962,88,"Action,Adventure",5.3,628,hi
To Kill a Mockingbird,1962,129,"Crime,Drama",8.3,347291,hi
Vivre sa vie,1962,85,Drama,7.8,37049,hi
What Ever Happened to Baby Jane?,1962,134,"Drama,Horror,Thriller",8.0,66400,hi
The Wonderful World of the Brothers Grimm,1962,135,"Adventure,Biography,Comedy",6.4,2364,hi
8½,1963,138,Drama,8.0,131079,hi
America America,1963,174,"Adventure,Drama",7.7,6355,hi
The Birds,1963,119,"Drama,Horror,Mystery",7.6,216783,hi
Cleopatra,1963,320,"Biography,Drama,History",7.0,40190,hi
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,"Comedy,War",8.3,544873,hi
From Russia with Love,1963,115,"Action,Adventure,Thriller",7.3,154055,hi
The Great Escape,1963,172,"Adventure,Drama,Thriller",8.2,273319,hi
The Haunting,1963,112,Horror,7.4,45131,hi
The Householder,1963,100,"Comedy,Drama",6.8,413,hi
Hud,1963,112,"Drama,Western",7.8,25462,hi
"Yesterday, Today and Tomorrow",1963,119,"Comedy,Romance",7.2,11078,hi
It's a Mad Mad Mad Mad World,1963,210,"Action,Adventure,Comedy",7.5,50009,hi
The Big City,1963,122,Drama,8.3,5431,hi
Contempt,1963,102,"Drama,Romance",7.4,38010,hi
The Nutty Professor,1963,107,"Comedy,Romance,Sci-Fi",6.6,20314,hi
The Pink Panther,1963,115,"Comedy,Crime,Romance",7.0,60621,hi
The Ghost,1963,97,Horror,6.1,1611,hi
High and Low,1963,143,"Crime,Drama,Mystery",8.4,65010,hi
Tom Jones,1963,129,"Adventure,Comedy,History",6.4,15071,hi
X: The Man with the X-Ray Eyes,1963,79,"Horror,Sci-Fi,Thriller",6.6,8929,hi
Yeh Rastey Hain Pyar Ke,1963,150,"Crime,Drama,Romance",6.4,61,hi
Africa sexy,1963,106,Documentary,5.6,8,hi
The Americanization of Emily,1964,115,"Comedy,Drama,Romance",7.3,6057,hi
Apache Rifles,1964,92,"Drama,Western",6.4,3528,hi
The Lonely Wife,1964,117,"Drama,Romance",8.1,7762,hi
The Curse of the Mummy's Tomb,1964,81,"Drama,Fantasy,Horror",5.6,3915,hi
Goldfinger,1964,110,"Action,Adventure,Thriller",7.7,212635,hi
Ishaara,1964,129,Drama,6.0,22,hi
The Fog,1964,153,"Drama,Musical,Mystery",6.9,172,hi
Leader,1964,176,"Comedy,Romance,Thriller",7.1,259,hi
A Fistful of Dollars,1964,99,"Drama,Western",7.9,248916,hi
Sangam,1964,238,"Drama,Musical,Romance",7.3,2052,hi
Santa Claus Conquers the Martians,1964,81,"Adventure,Comedy,Family",2.8,13097,hi
Blood and Black Lace,1964,88,"Crime,Drama,Horror",7.1,14654,hi
Seven Days in May,1964,118,"Drama,Thriller",7.8,18520,hi
Sex and the College Girl,1964,90,"Drama,Romance",4.0,122,hi
Sex and the Single Girl,1964,110,"Comedy,Romance",6.4,5066,hi
Woman in the Dunes,1964,147,"Drama,Thriller",8.4,24784,hi
Zulu,1964,138,"Drama,History,War",7.7,45298,hi
Bad Girls Go to Hell,1965,65,"Crime,Drama",4.9,1230,hi
Chemmeen,1965,140,"Drama,Romance",7.8,569,hi
Doctor Zhivago,1965,197,"Drama,Romance,War",7.9,85715,hi
The Pleasures of the Flesh,1965,104,"Crime,Drama",6.9,1801,hi
The Greatest Story Ever Told,1965,260,"Biography,Drama,History",6.6,12957,hi
Guide,1965,183,"Drama,Romance",8.3,10847,hi
Invasion of Astro-Monster,1965,93,"Action,Adventure,Sci-Fi",6.2,8322,hi
The Coward,1965,70,"Drama,Romance",7.6,2650,hi
Khandan,1965,158,Drama,6.7,209,hi
Mirage,1965,108,"Mystery,Thriller",7.2,6481,hi
For a Few Dollars More,1965,132,"Drama,Western",8.2,294541,hi
Pierrot le Fou,1965,110,"Crime,Drama,Romance",7.4,39403,hi
The Sound of Music,1965,174,"Biography,Drama,Family",8.1,283885,hi
Teesra Kaun,1965,127,"Action,Crime,Drama",6.9,26,hi
Thunderball,1965,130,"Action,Adventure,Thriller",6.9,134022,hi
Waqt,1965,178,"Drama,Romance",7.6,1653,hi
The Lost Face,1965,73,"Comedy,Crime,Sci-Fi",6.4,56,hi
"Arrivederci, Baby!",1966,100,"Comedy,Crime",5.5,730,hi
Batman: The Movie,1966,105,"Action,Adventure,Comedy",6.5,37497,hi
"The Good, the Bad and the Ugly",1966,178,"Adventure,Drama,Western",8.8,872031,hi
Dil Diya Dard Liya,1966,169,"Drama,Musical,Romance",6.2,163,hi
Mamta,1966,150,"Drama,Romance",7.0,151,hi
Masculine Feminine,1966,103,"Drama,Romance",7.4,18625,hi
The Hero,1966,117,Drama,8.3,5836,hi
Persona,1966,83,"Drama,Thriller",8.0,138310,hi
The Silencers,1966,102,"Action,Adventure,Comedy",5.9,4091,hi
The Witches,1967,105,"Comedy,Drama,Romance",5.9,2236,hi
"My Sister, My Love",1966,97,"Drama,Romance",7.1,598,hi
Teesri Kasam,1966,159,"Comedy,Drama,Romance",7.8,897,hi
Teesri Manzil,1966,172,"Comedy,Musical,Mystery",7.5,1375,hi
Belle de Jour,1967,100,"Drama,Romance",7.6,52463,hi
Bonnie and Clyde,1967,111,"Action,Biography,Crime",7.7,126401,hi
Kiss Me Monster,1969,75,"Adventure,Horror,Mystery",4.3,836,hi
Carry on Doctor,1967,94,Comedy,6.5,4429,hi
Chelsea Girls,1966,210,Drama,5.7,1739,hi
Chhoti Si Mulaqat,1967,175,"Drama,Romance",6.9,55,hi
Cool Hand Luke,1967,127,"Crime,Drama",8.0,195801,hi
Indecent Desires,1968,75,"Drama,Fantasy",4.9,610,hi
Doctor Dolittle,1967,152,"Adventure,Comedy,Family",6.2,10867,hi
The Graduate,1967,106,"Comedy,Drama,Romance",8.0,299795,hi
Guess Who's Coming to Dinner,1967,108,"Comedy,Drama",7.8,51965,hi
Hamraaz,1967,170,"Mystery,Thriller",7.2,562,hi
Jack of Diamonds,1967,108,"Crime,Drama",5.2,492,hi
Jewel Thief,1967,186,"Crime,Drama,Mystery",7.9,2225,hi
The Jungle Book,1967,78,"Adventure,Animation,Comedy",7.6,209700,hi
The Night of the Generals,1967,148,"Crime,Drama,Mystery",7.2,9428,hi
Sing a Song of Sex,1967,103,Drama,6.5,967,hi
The Nude Restaurant,1967,100,Comedy,5.4,230,hi
Point Blank,1967,92,"Crime,Drama,Thriller",7.3,25430,hi
"To Sir, with Love",1967,105,Drama,7.6,21611,hi
Sexy Baby,1968,89,Drama,5.7,57,hi
You Only Live Twice,1967,117,"Action,Adventure,Thriller",6.8,124031,hi
2001: A Space Odyssey,1968,149,"Adventure,Sci-Fi",8.3,767503,hi
Anjaam,1968,\N,"Action,Adventure",5.2,10,hi
Barbarella,1968,98,"Action,Adventure,Fantasy",5.9,39973,hi
The Bliss of Mrs. Blossom,1968,93,Comedy,5.6,710,hi
Blue Movie,1969,105,"Drama,Romance",4.7,496,hi
Bambai Raat Ki Bahon Mein,1968,136,"Crime,Drama,Romance",6.4,18,hi
Bullitt,1968,114,"Action,Crime,Thriller",7.4,80292,hi
"Daddy, Darling",1970,95,Drama,4.8,454,hi
